last_name, first_name,player_id,year,slg_percent,on_base_percent,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_bolts,hp_to_1b,sprint_speed
Garcia, Adolis,666969,2022,0.456,0.300,92.1,13.2,36.9,12.9,9.3,22.9,22.9,28.7,2.8,47.4,102.368780141,73.5,26.6,37.3,44.6,55.4,55.3,76.2,6.6,73.4,44.7,41.2,33.5,53.5,39.3,37.9,22.9,62.9,41.1,25,24.5,9.3,12,4.35,27.9
Gurriel Jr., Lourdes,666971,2022,0.400,0.343,90.6,10.9,34.7,3.8,8.9,30.9,21.8,32.3,2.4,45.7,100.376795914,68.4,14.3,29.6,37.1,62.9,50.8,72.7,7.5,85.6,49.2,42.9,21.3,48.7,35.5,36.8,27.7,65,45.7,22,26.3,5.9,,4.44,27.3
Arozarena, Randy,668227,2022,0.445,0.327,89.9,8.8,28.2,7.9,5.8,20.1,22.7,40.5,2.5,41,101.17822,64.1,21.3,30.8,41.5,58.5,54.1,74.4,6.8,78.5,45.9,42.3,28.6,46.1,32.4,44.2,23.4,60.5,50.2,19.7,20.8,9.3,13,4.27,28.8
Pratto, Nick,668472,2022,0.386,0.269,86,19.7,34.4,12.5,7.3,18.8,32.3,20.8,8.3,36.5,98.384692128,65.1,24,26.2,59.6,40.4,50.4,73,8,76,49.6,44.1,34.4,45.5,43.8,30.2,26,58.8,33.3,40.6,17.7,8.3,,4.4,27.2
Bleday, JJ,668709,2022,0.309,0.277,86.3,25,37.4,8.6,5,20.9,44.6,14.4,6.5,33.8,97.363228429,71.1,21.3,24.2,45.7,54.3,51.9,81.8,6.4,77.8,48.1,41.9,27.9,46.7,49.6,32.4,18,60.9,25.2,38.1,25.2,11.5,,4.41,27.8
Baddoo, Akil,668731,2022,0.269,0.289,85,14.2,29.9,3.6,2.2,21.9,32.1,32.1,7.3,27,96.42330597,70.6,19.3,26.7,48.1,50.4,53.6,82.4,8.1,79.3,46.4,44.5,28.1,47.1,34.3,35,30.7,54.7,42.3,24.8,21.2,11.7,5,4.12,28.9
Mitchell, Cal,668751,2022,0.349,0.284,89.9,7.5,34,4.9,5.6,27.2,21.6,36.4,4.3,40.7,99.042591235,69,15.5,32.2,50,50,50.4,73,7.4,83.8,49.6,42.2,26.6,50.5,45.7,31.5,22.8,64.2,46.3,21.6,30.2,1.9,,4.71,26.1
Knizner, Andrew,668800,2022,0.300,0.300,86,15.6,28.6,3.5,3.5,26.1,29.6,31.7,5.5,33.2,97.694226667,65.4,14.5,32.9,38.2,61.3,51.2,68.2,6,85.2,48.8,44.7,22.7,48.8,36.7,39.7,23.6,65.9,45.7,23.6,17.6,13.1,,4.69,25.8
Reynolds, Bryan,668804,2022,0.461,0.345,90.2,12,35.5,7.9,6,24.8,25.8,31.5,4,42.9,100.882578564,72.9,15.8,31.5,51,49,54.3,84.8,6.6,84.1,45.7,43.4,27.7,50.4,39.2,37.5,23.3,62.6,43.7,27.8,24.6,4,1,4.34,28.3
Rutschman, Adley,668939,2022,0.445,0.362,87.9,15.6,35.6,7.9,6.7,25.4,27.3,27.9,4.8,36.8,99.028130823,61.1,11.5,23.1,32.3,67.7,54.1,74.4,6.4,88.5,45.9,41.8,17.9,40.5,39,40,21,53.4,40,26.7,25.1,8.3,,4.4,27.2
Rojas, Josh,668942,2022,0.391,0.345,88.8,11.9,33.5,4.5,4.8,27.3,26.5,31.3,5.4,36.1,98.050444128,62.6,16.3,19.9,40.2,58.3,50.5,78.1,7.4,83.5,49.5,42.9,22.2,41,32.7,36.1,31.3,58.4,43.9,26.2,26.2,3.7,,4.37,27.3
Melendez Jr., MJ,669004,2022,0.393,0.313,90.7,15.1,31,10.4,6.8,23.2,27.1,29.2,2.7,43.5,100.595888323,66,20.7,24.1,46.3,53.7,51,77.4,7.7,79.3,49,41.4,27.8,44.6,43.5,33.6,22.9,55.8,39.6,32.7,20.8,6.8,,4.21,27.8
Marsh, Brandon,669016,2022,0.384,0.293,89.2,10.9,40.8,7.4,7,29.8,21,30.1,4.8,38.2,99.629003534,64.6,22.1,31.8,42.8,55.8,50.9,77,7.5,77.7,49.1,43.1,29.1,47.9,30.1,43.8,26.1,60.7,43.4,27.9,26.1,2.6,6,4.27,28.9
Langeliers, Shea,669127,2022,0.430,0.261,87.3,16.9,42.9,9.9,6.6,19.8,29.7,27.5,6.6,38.5,99.086486739,73.4,32.1,35.4,64.4,35.6,50.4,83.7,7.4,67.9,49.6,44.4,42.7,54.2,54.9,30.8,14.3,57.5,37.4,24.2,25.3,13.2,,4.49,28.7
